date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month
2022-07-28,20.9,14.7,28.9,0.8,0,55.0,7.5,20.4,1012.7,,07-Jul
2022-07-29,18.2,16.4,23.1,5.5,0,197.0,5.9,20.4,1015.8,,07-Jul
2022-07-30,20.2,15.2,26.0,0.4,0,235.0,6.5,24.1,1018.6,,07-Jul
2022-07-31,22.2,16.7,28.3,0.0,0,217.0,5.3,22.2,1018.1,,07-Jul
2022-08-01,23.2,17.5,30.7,1.2,0,233.0,5.1,25.9,1016.7,,08-Aug
2022-08-02,22.0,16.1,29.2,0.0,0,54.0,4.8,22.2,1017.2,,08-Aug
2022-08-03,25.2,17.6,32.4,0.0,0,37.0,4.4,14.8,1014.8,,08-Aug
2022-08-04,27.3,20.0,34.7,0.0,0,185.0,4.9,20.4,1013.0,,08-Aug
2022-08-05,24.6,18.2,32.4,12.5,0,210.0,5.9,22.2,1014.3,,08-Aug
2022-08-06,17.0,14.5,18.3,0.0,0,48.0,8.7,27.8,1021.0,,08-Aug
2022-08-07,17.6,14.2,21.7,0.0,0,48.0,8.2,24.1,1019.5,,08-Aug
2022-08-08,20.0,13.8,26.5,0.0,0,47.0,8.5,29.6,1019.7,,08-Aug
2022-08-09,20.9,14.5,27.3,0.0,0,49.0,9.7,29.6,1020.9,,08-Aug
2022-08-10,20.2,15.1,27.9,0.0,0,49.0,9.7,31.5,1020.0,,08-Aug
2022-08-11,21.2,14.4,28.1,0.0,0,46.0,8.3,24.1,1017.6,,08-Aug
2022-08-12,20.8,15.1,26.9,0.0,0,50.0,10.2,31.5,1015.4,,08-Aug
2022-08-13,20.6,13.7,28.1,0.0,0,53.0,8.4,29.6,1013.8,,08-Aug
2022-08-14,20.9,14.7,27.1,0.1,0,5.0,7.2,27.8,1009.0,,08-Aug
2022-08-15,19.2,16.1,26.9,0.0,0,228.0,7.4,37.0,1008.5,,08-Aug
2022-08-16,21.4,14.7,29.5,0.0,0,155.0,4.2,14.8,1009.7,,08-Aug
2022-08-17,22.2,15.5,29.0,13.3,0,33.0,5.5,24.1,1010.2,,08-Aug
2022-08-18,17.1,14.9,20.8,6.8,0,294.0,4.9,24.1,1013.2,,08-Aug
2022-08-19,16.8,15.3,17.9,14.5,0,242.0,7.2,22.2,1015.5,,08-Aug
2022-08-20,17.6,15.1,22.3,7.0,0,220.0,6.8,20.4,1018.7,,08-Aug
2022-08-21,19.0,15.0,24.9,0.0,0,52.0,4.1,16.7,1016.5,,08-Aug
2022-08-22,19.6,14.6,25.9,0.0,0,57.0,4.7,22.2,1014.0,,08-Aug
2022-08-23,19.9,14.6,26.6,0.0,0,66.0,5.6,27.8,1015.9,,08-Aug
2022-08-24,20.1,13.6,27.0,0.0,0,58.0,7.0,27.8,1017.1,,08-Aug
2022-08-25,21.3,14.7,28.3,0.0,0,54.0,4.9,16.7,1015.0,,08-Aug
2022-08-26,20.7,16.6,28.1,12.5,0,218.0,5.7,24.1,1013.7,,08-Aug
2022-08-27,18.1,15.3,23.5,0.4,0,344.0,4.6,16.7,1014.5,,08-Aug
2022-08-28,18.7,15.0,25.3,0.0,0,47.0,6.9,22.2,1015.6,,08-Aug
2022-08-29,19.9,14.4,26.4,0.0,0,48.0,6.0,18.5,1017.3,,08-Aug
2022-08-30,20.3,15.9,27.4,4.7,0,44.0,5.2,20.4,1017.0,,08-Aug
2022-08-31,16.6,14.3,20.4,2.1,0,24.0,5.6,22.2,1018.6,,08-Aug
2022-09-01,16.4,12.9,21.3,0.0,0,49.0,8.0,24.1,1017.1,,09-Sep
2022-09-02,16.8,11.2,23.3,2.8,0,50.0,6.5,22.2,1014.2,,09-Sep
2022-09-03,17.1,14.5,21.6,1.3,0,181.0,5.6,22.2,1014.2,,09-Sep
2022-09-04,18.9,13.9,25.3,0.0,0,99.0,3.5,14.8,1018.4,,09-Sep
2022-09-05,19.9,15.1,26.1,0.0,0,88.0,3.7,14.8,1019.9,,09-Sep
2022-09-06,18.9,17.0,22.0,2.6,0,123.0,4.1,13.0,1017.9,,09-Sep
2022-09-07,19.0,14.9,26.1,20.8,0,269.0,4.8,18.5,1014.9,,09-Sep
2022-09-08,17.3,14.6,21.8,0.6,0,222.0,8.6,33.3,1013.1,,09-Sep
2022-09-09,16.6,13.7,21.6,0.6,0,232.0,7.9,38.9,1015.0,,09-Sep
2022-09-10,14.2,13.1,19.0,0.3,0,239.0,11.8,37.0,1017.9,,09-Sep
2022-09-11,16.3,12.4,21.3,0.0,0,255.0,6.1,22.2,1019.3,,09-Sep
2022-09-12,16.7,10.3,23.6,0.0,0,88.0,4.5,13.0,1016.0,,09-Sep
2022-09-13,19.4,13.9,25.6,0.0,0,137.0,3.3,13.0,1011.6,,09-Sep
2022-09-14,20.6,16.6,22.5,3.1,0,223.0,8.6,31.5,1008.1,,09-Sep
2022-09-15,16.2,13.4,19.5,12.5,0,238.0,12.7,38.9,1009.4,,09-Sep
2022-09-16,13.7,9.9,17.4,0.6,0,289.0,7.0,25.9,1012.1,,09-Sep
2022-09-17,9.9,7.7,13.3,0.5,0,258.0,11.0,35.2,1017.6,,09-Sep
2022-09-18,11.3,7.9,15.4,0.0,0,247.0,11.3,35.2,1019.8,,09-Sep
